GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sherdog-parser,com.ftpix.sherdogparser.parsers,ParserUtils,30,36,5,3,8,9,4,4,1,3
sherdog-parser,com.ftpix.sherdogparser.parsers,EventParser,173,429,6,9,41,97,6,10,2,4
sherdog-parser,com.ftpix.sherdogparser.parsers,FighterParser,127,440,14,11,20,95,12,14,2,8
sherdog-parser,com.ftpix.sherdogparser.parsers,OrganizationParser,23,273,1,11,3,64,2,10,1,4
sherdog-parser,com.ftpix.sherdogparser,Sherdog,22,47,2,2,3,14,5,5,3,5
sherdog-parser,com.ftpix.sherdogparser,Sherdog.Builder,0,24,0,0,0,7,0,4,0,4
sherdog-parser,com.ftpix.sherdogparser,Constants,15,0,2,0,4,0,3,0,2,0
sherdog-parser,com.ftpix.sherdogparser.models,Fighter,97,91,0,0,10,35,5,18,5,18
sherdog-parser,com.ftpix.sherdogparser.models,Event,88,36,0,0,10,14,3,8,3,8
sherdog-parser,com.ftpix.sherdogparser.models,Organization,16,11,0,0,6,3,2,2,2,2
sherdog-parser,com.ftpix.sherdogparser.models,Fight,36,113,6,0,6,27,4,18,1,18
sherdog-parser,com.ftpix.sherdogparser.models,Organizations,9,67,0,0,0,9,2,2,2,2
sherdog-parser,com.ftpix.sherdogparser.models,SherdogBaseObject,0,38,0,0,0,8,0,6,0,6
sherdog-parser,com.ftpix.sherdogparser.models,FightResult,5,63,0,0,0,6,1,3,1,3
